ps2_real_address,class,method_signature,source_file,profiling_offset
001342c0,CB3OnePlayerStage,Prepare(),,208
00134c70,CB3Player,ResetLastInputTime(),,208
00139950,CB3TwoPlayerSplitScreenStage,Prepare(),,208
001409a0,CB3AICar,Prepare(),,208
00142840,CB3AIDriver,Prepare(),,208
0016c880,CB3HUD,Update(float),,0
002485e0,CB3SoundScrape,UpdateScrape(int),,160
0024ab20,CB3SoundESMHigh,"Prepare(unsigned long,int)",,192
0024ad00,CB3SoundESMHigh,Construct(),,224
0024ad70,CB3SoundESM,"ModulateRpm(CB3SoundESMGraphInputs&,const CB3RaceCar*)",,176
0024d5b0,CB3SoundAICar,"Update(const CB3RaceCar*)",,176
002c32c0,CB3StreamedTrack,UpdateStreamHighFSM(),,160
002c36d0,CB3StreamedTrack,"Prepare(bool,int)",,240
002cb630,CB3BoostEffectParams,"SetViewportEffects(CB3ViewportParams*,CB3PlayerCar*)",,208
002ffce0,CB3OnlineSelNetConfigPage,Prepare(),,0
00300540,CB3OnlineConnectingPage,Prepare(int),,192
00361f10,CB3SatNavComponent,UpdatePanel(float),,192
00131450,CB3Game,RequestNewGameMode(CB3GameMode*),,192
001392e0,CB3ProfileInGameData,CacheCurrentProfile(CB3Profile*),,208
00225320,CB3SparkRenderer,"UploadStaticDataAndCallCode(const CB3SparkArray*,bool)",,0
002bae70,CB3SoundDSPDataBlock,"ProcessB2Distortion(short*,short*)",,240
002eb880,CB3StaticTrack,Prepare(),,160
002eeca0,CB3DemoPauseState,"Action(EGtStateAction,void*,void*,void*)",,144
002efb40,CB3DemoRaceResultsPage,Update(),,208
002fc8d0,CB3RaceFinishedPage,PrepareTable(),,256
003028e0,CB3OnlineLoginToLobbyState,ShowNetworkError(),,144
0030ad30,CB3CrashAnalyser,Update(float),,192
0033a1b0,CB3OnlineOptimatchMenuPage,BuildListOfGames(),,208
00340160,CB3Button2dObject,Construct(),,240
00342060,CGtSoundManager,StopAll(),,192
00379480,CB3AwardPresentationState,"Action(EGtStateAction,void*,void*,void*)",,0
0037be20,CB3PartyCrashSetupState,"Action(EGtStateAction,void*,void*,void*)",,176
001337d0,CB3GameMode,Destruct(),,192
00134510,CB3OnlineStage,Release(),,208
00134600,CB3OnlineStage,Render(),,208
0016af80,CB3GraphicsManagerBase,SetViewportsSinglePlayer(),,240
0016b010,CB3GraphicsManagerBase,SetDefaultLODSwitchDistances(),,240
001dccc0,Gt2dRenderer,EnableZTest(bool),,256
0022c250,CB3TrafficDataStruct,Fixup(unsigned int),,224
0022e720,CB3NetworkManager,ResetDNASStatus(),,256
002cc290,CB3MenuChoices,RequestMShowDemoGameMode(),,208
002d35d0,CB3OnlineLobbyPage,OnKeyboardShow(),,144
002ee880,CB3DemoRaceInfoState,"Action(EGtStateAction,void*,void*,void*)",,192
003097e0,CB3TextComponent,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,c",,208
00316cc0,CB3SFIOCallbacks,SFIOGetTerritoryCallback(),,224
00317070,CB3SFIOCallbacks,"SFIOWriteCallback(int,const void*,unsigned int)",,256
00317330,CB3SFIOCallbacks,"SFIOOpenCallback(const char*,const char*,SFIODeviceE,unsigned int)",,176
003176e0,CB3SFIOCallbacks,"SharedNetworkLoginSavePrepare(char*,char*)",,160
00338020,CB3PageTextComponent,HideSelectionBar(),,176
003793f0,CB3OnePlayerModeSelectState,SetupGameModeSelect(),,256
0039a3e0,CB3HardCodedCrashStageList,"IsCorrectRegion(EB3TrackRegion,int)",,176
0039a4a0,CB3HardCodedCrashStageList,"FindCrashStageName(unsigned long)",,160
0039aa40,CB3HardCodedRaceStageList,"IsChallengeOnThisCircuit(EB3TrackRegion,int,int)",,144
002f9300,CB3TableComponent,Release(),,208
002fb170,CB3PausePage,"UpdateSubStateMakeChoice(CB3ControllerMapping*)",,160
00309400,CB3OnScreenKeyboardComponent,Construct(),,208
00309620,CB3TextComponent,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,const unsigned short*,float,bool,float,unsigned int",,192
0030ab70,CB3DNASPage,Prepare(),,240
00320750,CB3OnlineBuddiesState,"Action(EGtStateAction,void*,void*,void*)",,256
00332260,CB3CrashResultsPage,Update(),,192
00337ee0,CB3OnlineCrashRecordsMenuPage,Prepare(int),,176
003479f0,CB3OfflineLapEliminatorLogic,"OnRaceCarStartNewLap(CB3RaceCar*)",,160
0036fae0,CB3VOptionsSelectComponent,Release(),,256
00385ce0,CB3HUDPrimaryMessageHandler,CreateScoreObject(int),,144
0014af60,CB3Burn,Construct(),,208
001578d0,CB3FinishedScore,Prepare(int),,176
00251350,CB3SoundCrashedTraffic,StartBassVoices(),,256
002adae0,CB3SoundRaceCarManager,RequestRaceCar(EB3RaceCarType),,240
