source_file,string_address,function_address
"HUD\CHudComponentCrashDamageScore.cpp",00517a20,00031d70
"HUD\CHudComponentCrashDamageScore.cpp",00517ae8,00031d70
"HUD\CHudComponentCrashScore.cpp",00518308,000321a0
"HUD\CHudComponentCrashScore.cpp",005183b0,00032400
"HUD\CHudComponentCrashScore.cpp",00518458,00032400
"HUD\CHudComponentCrashValue.cpp",00518b80,00032790
"HUD\CHudComponentCrashValue.cpp",00518bf8,00033300
"HUD\CHudComponentCrashValue.cpp",00518c70,00033300
"HUD\CHudComponentCrashValue.cpp",00518d10,000333e0
"HUD\CHudComponentEscapeDistance.cpp",00519408,00033500
"HUD\CHudComponentEscapeDistance.cpp",005194c0,00033800
"HUD\CHudComponentHealth.cpp",00519bc8,000338f0
"HUD\CHudComponentHealth.cpp",00519c80,00033ce0
"HUD\CHudComponentLapHistory.cpp",0051a370,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a3f0,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a470,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a4f8,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a578,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a600,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a688,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a708,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a790,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a818,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a8a0,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a918,000340f0
"HUD\CHudComponentLapHistory.cpp",0051a9b8,00033f70
"HUD\CHudComponentLapHistory.cpp",0051aa50,00033fd0
"HUD\CHudComponentLapHistory.cpp",0051aad0,00034c50
"HUD\CHudComponentLapHistory.cpp",0051ab58,00034c50
"HUD\CHudComponentLapTimes.cpp",0051b240,00035000
"HUD\CHudComponentLapTimes.cpp",0051b2c0,00035000
"HUD\CHudComponentLapTimes.cpp",0051b338,00035000
"HUD\CHudComponentLapTimes.cpp",0051b3b0,00035000
"HUD\CHudComponentLapTimes.cpp",0051b428,00035000
"HUD\CHudComponentLapTimes.cpp",0051b4a0,00035000
"HUD\CHudComponentLapTimes.cpp",0051b520,00035000
"HUD\CHudComponentLapTimes.cpp",0051b5b8,00034de0
"HUD\CHudComponentLapTimes.cpp",0051b648,00034e40
"HUD\CHudComponentLessonInfo.cpp",0051bd48,000357f0
"HUD\CHudComponentLessonInfo.cpp",0051be08,00035920
"HUD\CHudComponentMessage.cpp",0051c530,00037230
"HUD\CHudComponentMessage.cpp",0051c5c0,00037230
"HUD\CHudComponentMessage.cpp",0051c658,000368a0
"HUD\CHudComponentMessage.cpp",0051c6f0,000369c0
